,0,1
769,fact,105
770,asked,105
771,wonderful,104
772,thoughts,104
773,rules,104
774,romance,104
775,others,104
776,hour,104
777,escape,104
778,seven,103
779,lovely,103
780,cash,103
781,strange,102
782,snow,102
783,searching,102
784,quit,102
785,mistake,102
786,mercy,102
787,dawn,102
788,cover,102
789,rose,101
790,nana,101
791,moonlight,101
792,holdin,101
793,fantasy,101
794,choose,101
795,turnin,100
796,small,100
797,loose,100
798,bump,100
799,begin,100
800,workin,99
801,letting,99
802,instead,99
803,dust,99
804,bill,99
805,wondering,98
806,within,98
807,quick,98
808,nasty,98
809,country,98
810,brain,98
811,taken,97
812,sense,97
813,mans,97
814,eight,97
815,cruel,97
816,walls,96
817,turns,96
818,plan,96
819,figure,96
820,couple,96
821,acting,96
822,woke,95
823,wash,95
824,park,95
825,theyve,94
826,sitting,94
827,longer,94
828,lifes,94
829,hitta,94
830,devil,94
831,desire,94
832,whisper,93
833,smokin,93
834,secrets,93
835,pieces,93
836,golden,93
837,east,93
838,dime,93
839,diamond,93
840,darkness,93
841,sleeping,92
842,locked,92
843,finger,92
844,beauty,92
845,beating,92
846,sunday,91
847,sail,91
848,later,91
849,glass,91
850,clouds,91
851,cake,91
852,surely,90
853,strength,90
854,steal,90
855,shouldnt,90
856,runs,90
857,pour,90
858,none,90
859,motherfucker,90
860,girlfriend,90
861,fellas,90
862,wave,89
863,thong,89
864,thick,89
865,rough,89
866,promises,89
867,paid,89
868,friday,89
869,fingers,89
870,dough,89
871,brought,89
872,swing,88
873,solo,88
874,rainy,88
875,jack,88
876,hump,88
877,death,88
878,zone,87
879,shoot,87
880,self,87
881,motion,87
882,mighty,87
883,lines,87
884,doctor,87
885,deal,87
886,cannot,87
887,bird,87
888,worlds,86
889,welcome,86
890,stare,86
891,prayer,86
892,plus,86
893,leaves,86
894,kissed,86
895,insane,86
896,brings,86
897,breakin,86
898,surprise,85
899,quite,85
900,ocean,85
901,lift,85
902,leavin,85
903,keeping,85
904,hotel,85
905,gangsta,85
906,flowers,85
907,faces,85
908,editor,85
909,deeper,85
910,cream,85
911,coast,85
912,wiggle,84
913,tender,84
914,survive,84
915,rack,84
916,guitar,84
917,dreamin,84
918,dope,84
919,disco,84
920,thunder,83
921,taught,83
922,lucky,83
923,hook,83
924,yeahi,82
925,truck,82
926,rhyme,82
927,problems,82
928,plans,82
929,monday,82
930,float,82
931,diggin,82
932,chill,82
933,wrote,81
934,starting,81
935,smell,81
936,sister,81
937,plays,81
938,deserve,81
939,confused,81
940,color,81
941,birds,81
942,bell,81
943,become,81
944,asking,81
945,wishing,80
946,whoot,80
947,tree,80
948,touched,80
949,silly,80
950,showed,80
951,precious,80
952,paper,80
953,letter,80
954,hangin,80
955,glory,80
956,favorite,80
957,chain,80
958,built,80
959,shadows,79
960,rule,79
961,nothings,79
962,nine,79
963,monkey,79
964,miscellaneous,79
965,lying,79
966,grind,79
967,falls,79
968,dirt,79
969,crack,79
970,awake,79
971,steady,78
972,sippin,78
973,lyin,78
974,lemme,78
975,legs,78
976,laughing,78
977,drank,78
978,climb,78
979,admit,78
980,wherever,77
981,watchin,77
982,teach,77
983,rise,77
984,oooh,77
985,jungle,77
986,waited,76
987,tongue,76
988,skies,76
989,sand,76
990,pants,76
991,highway,76
992,fucking,76
993,forgot,76
994,foot,76
995,flame,76
996,bottles,76
997,twenty,75
998,sweeter,75
999,spinning,75
