,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
2535,108,18,11.2,37,51.76,82.12,0
2536,127,10,7.4,63,16.16,25.64,0
2537,56,3,2.4,48,11.43,18.13,0
2538,111,9,6.6,40,19.59,31.09,0
2539,82,6,5.4,44,18.6,29.52,0
2540,187,11,7.4,111,52.25,82.91,0
2541,83,22,7.6,42,18.39,29.18,0
2542,87,5,4.2,52,28.01,44.44,0
2543,104,26,9.2,63,43.0,68.23,0
2544,43,5,3.2,29,10.03,15.91,0
2545,121,10,8.0,67,41.99,66.63,0
2546,127,14,8.2,78,6.38,10.12,0
2547,66,8,3.6,53,7.57,12.01,0
2548,87,8,5.0,60,23.9,37.92,0
2549,222,25,10.0,139,27.32,43.34,0
2550,63,8,3.6,42,14.28,22.66,0
2551,126,10,6.8,69,33.66,53.4,0
2552,180,16,10.8,68,27.51,43.65,0
2553,104,3,3.0,82,11.94,18.94,0
2554,30,4,2.6,22,15.08,23.92,0
2555,124,20,10.6,42,35.68,56.6,0
2556,87,5,3.8,68,19.07,30.25,0
2557,132,4,2.8,122,12.41,19.68,0
2558,33,8,4.2,17,10.72,17.01,0
2559,35,4,2.8,21,4.95,7.85,0
2560,97,4,3.6,71,16.02,25.42,0
2561,120,10,6.8,54,49.12,77.93,0
2562,218,7,4.0,170,32.44,51.47,0
2563,138,10,6.8,83,16.04,25.45,0
2564,77,4,2.8,53,21.4,33.95,0
2565,91,5,3.4,74,14.78,23.45,0
2566,146,21,9.6,68,56.67,89.92,0
2567,72,15,4.8,38,10.72,17.01,0
2568,89,4,3.4,60,21.75,34.51,0
2569,58,8,4.2,30,24.29,38.54,0
2570,117,18,13.2,35,78.07,123.86,0
2571,121,10,6.8,73,15.11,23.98,0
2572,58,8,4.2,36,26.66,42.3,0
2573,95,8,6.4,42,29.95,47.51,0
2574,49,9,4.6,30,16.09,25.53,0
2575,72,6,5.8,33,23.35,37.05,0
2576,39,4,2.2,33,2.98,4.72,0
2577,106,7,6.0,43,37.24,59.09,0
2578,68,9,5.4,39,23.75,37.68,0
2579,69,3,2.6,55,9.99,15.85,0
2580,34,4,2.6,26,3.55,5.64,0
2581,88,4,4.0,62,12.34,19.58,0
2582,131,11,7.0,56,25.74,40.84,0
2583,117,6,5.4,75,52.59,83.43,0
2584,85,8,5.4,56,24.9,39.51,0
2585,82,6,4.8,50,5.84,9.27,0
2586,83,6,4.8,43,38.5,61.08,0
2587,161,12,7.0,89,26.08,41.38,0
2588,83,3,3.0,66,19.88,31.55,0
2589,98,3,2.4,80,20.52,32.56,0
2590,69,7,5.0,43,30.58,48.52,0
2591,38,3,3.0,20,6.35,10.07,0
2592,100,18,11.0,39,28.54,45.28,0
2593,78,5,4.4,58,8.43,13.37,0
2594,91,8,6.8,50,38.43,60.97,0
2595,70,7,3.2,48,10.2,16.18,0
2596,64,5,4.0,36,21.31,33.81,0
2597,75,21,7.8,32,15.56,24.69,0
2598,78,8,4.6,60,21.56,34.21,0
2599,87,8,6.6,24,17.62,27.96,0
2600,80,12,8.6,26,2.66,4.22,0
2601,63,7,4.2,43,14.01,22.23,0
2602,114,19,14.2,45,59.02,93.63,0
2603,63,5,4.0,33,22.01,34.93,0
2604,81,12,8.0,28,31.23,49.54,0
2605,32,6,4.2,12,13.3,21.09,0
2606,96,19,10.2,33,17.27,27.4,0
2607,136,19,6.6,92,21.91,34.76,0
