,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
3435,312,12,9.0,194,82.93,131.58,1
3436,113,6,5.4,58,45.76,72.6,1
3437,70,11,5.6,37,34.93,55.42,1
3438,248,23,18.8,68,126.16,200.16,1
3439,150,29,12.0,52,93.82,148.86,1
3440,98,6,4.2,47,19.21,30.47,1
3441,156,14,11.0,76,71.51,113.45,1
3442,87,9,5.0,64,14.55,23.09,1
3443,101,10,9.0,50,36.71,58.25,1
3444,120,9,6.0,57,32.15,51.01,1
3445,73,7,4.2,44,27.74,44.02,1
3446,119,9,6.8,77,19.53,30.99,1
3447,151,36,16.8,52,62.69,99.46,1
3448,174,9,6.2,122,58.89,93.44,1
3449,125,30,14.0,28,10.71,16.99,1
3450,98,4,2.8,81,24.5,38.87,1
3451,50,4,3.4,31,9.49,15.05,1
3452,162,7,5.4,125,29.96,47.53,1
3453,175,35,18.0,61,69.67,110.54,1
3454,107,18,10.0,47,46.57,73.88,1
3455,76,6,4.8,49,29.29,46.46,1
3456,90,15,10.0,22,36.2,57.44,1
3457,175,12,9.6,85,0.22,0.34,1
3458,186,15,10.6,77,67.57,107.2,1
3459,54,4,3.6,31,11.79,18.7,1
3460,134,9,6.6,67,36.83,58.43,1
3461,102,18,9.6,41,33.39,52.98,1
3462,170,17,13.0,53,85.86,136.22,1
3463,166,22,14.6,52,33.5,53.15,1
3464,306,27,14.2,111,52.05,82.58,1
3465,150,10,7.4,60,45.32,71.9,1
3466,112,14,6.2,71,17.38,27.58,1
3467,90,10,6.6,36,11.03,17.5,1
3468,128,15,8.4,40,27.81,44.12,1
3469,228,19,9.2,123,61.69,97.87,1
3470,50,5,3.4,35,23.54,37.35,1
3471,77,8,3.2,63,23.53,37.33,1
3472,315,24,14.0,181,51.29,81.38,1
3473,271,36,16.8,149,56.22,89.19,1
3474,348,57,24.8,138,129.82,205.97,1
3475,92,13,5.8,59,21.05,33.4,1
3476,202,50,18.0,88,86.42,137.12,1
3477,47,2,1.6,44,14.25,22.61,1
3478,282,23,13.6,116,64.64,102.56,1
3479,51,4,3.0,41,5.68,9.01,1
3480,111,10,4.6,68,49.03,77.79,1
3481,242,20,13.2,133,52.04,82.57,1
